,patient,accuracy,class,bands
131,2,0.5,2,9-14Hz
132,2,0.9,0,9-14Hz
133,2,0.3888888888888889,1,9-14Hz
134,2,0.45454545454545453,2,9-14Hz
135,2,0.72,0,9-14Hz
136,2,0.3,1,9-14Hz
137,2,0.6,2,9-14Hz
138,2,0.85,0,9-14Hz
139,2,0.2727272727272727,1,9-14Hz
140,2,0.6666666666666666,2,9-14Hz
141,2,0.7727272727272727,0,9-14Hz
142,2,0.2,1,9-14Hz
143,2,0.4444444444444444,2,9-14Hz
144,2,0.8235294117647058,0,9-14Hz
145,2,0.375,1,9-14Hz
146,2,0.47368421052631576,2,9-14Hz
147,2,0.7391304347826086,0,9-14Hz
148,2,0.2631578947368421,1,9-14Hz
149,2,0.5555555555555556,2,9-14Hz
150,2,0.8235294117647058,0,10-12Hz
151,2,0.2,1,10-12Hz
152,2,0.7777777777777778,2,10-12Hz
153,2,0.6666666666666666,0,10-12Hz
154,2,0.47058823529411764,1,10-12Hz
155,2,0.5454545454545454,2,10-12Hz
156,2,0.9375,0,10-12Hz
157,2,0.3181818181818182,1,10-12Hz
158,2,0.5454545454545454,2,10-12Hz
159,2,0.7777777777777778,0,10-12Hz
160,2,0.3181818181818182,1,10-12Hz
161,2,0.2,2,10-12Hz
162,2,0.8,0,10-12Hz
163,2,0.3333333333333333,1,10-12Hz
164,2,0.36363636363636365,2,10-12Hz
165,2,0.72,0,10-12Hz
166,2,0.4,1,10-12Hz
167,2,0.6666666666666666,2,10-12Hz
168,2,0.8,0,10-12Hz
169,2,0.5,1,10-12Hz
170,2,0.6111111111111112,2,10-12Hz
171,2,0.6818181818181818,0,10-12Hz
172,2,0.2,1,10-12Hz
173,2,0.6111111111111112,2,10-12Hz
174,2,0.7647058823529411,0,10-12Hz
175,2,0.2916666666666667,1,10-12Hz
176,2,0.5263157894736842,2,10-12Hz
177,2,0.7391304347826086,0,10-12Hz
178,2,0.2631578947368421,1,10-12Hz
179,2,0.4444444444444444,2,10-12Hz
180,3,0.7894736842105263,0,6-30Hz
181,3,1.0,1,6-30Hz
182,3,0.8,2,6-30Hz
183,3,0.9230769230769231,0,6-30Hz
184,3,1.0,1,6-30Hz
185,3,0.9411764705882353,2,6-30Hz
186,3,0.5714285714285714,0,6-30Hz
187,3,1.0,1,6-30Hz
188,3,0.9583333333333334,2,6-30Hz
189,3,0.6111111111111112,0,6-30Hz
190,3,1.0,1,6-30Hz
191,3,0.9523809523809523,2,6-30Hz
192,3,0.6666666666666666,0,6-30Hz
193,3,1.0,1,6-30Hz
194,3,0.9130434782608695,2,6-30Hz
195,3,0.75,0,6-30Hz
196,3,1.0,1,6-30Hz
197,3,0.782608695652174,2,6-30Hz
198,3,0.8636363636363636,0,6-30Hz
199,3,0.9444444444444444,1,6-30Hz
200,3,0.9,2,6-30Hz
201,3,0.6428571428571429,0,6-30Hz
202,3,1.0,1,6-30Hz
203,3,0.875,2,6-30Hz
204,3,0.6666666666666666,0,6-30Hz
205,3,0.9545454545454546,1,6-30Hz
206,3,0.8,2,6-30Hz
207,3,0.7368421052631579,0,6-30Hz
208,3,1.0,1,6-30Hz
209,3,0.8695652173913043,2,6-30Hz
210,3,0.6842105263157895,0,9-14Hz
211,3,0.9523809523809523,1,9-14Hz
212,3,0.75,2,9-14Hz
213,3,0.8076923076923077,0,9-14Hz
214,3,1.0,1,9-14Hz
215,3,0.9411764705882353,2,9-14Hz
216,3,0.6428571428571429,0,9-14Hz
217,3,1.0,1,9-14Hz
218,3,0.9583333333333334,2,9-14Hz
219,3,0.6666666666666666,0,9-14Hz
220,3,0.9047619047619048,1,9-14Hz
221,3,0.9523809523809523,2,9-14Hz
222,3,0.6190476190476191,0,9-14Hz
223,3,1.0,1,9-14Hz
224,3,0.9130434782608695,2,9-14Hz
225,3,0.6875,0,9-14Hz
226,3,1.0,1,9-14Hz
227,3,0.8260869565217391,2,9-14Hz
228,3,0.8181818181818182,0,9-14Hz
229,3,1.0,1,9-14Hz
