,patient,accuracy,class,channels
855,10,1.0,0,10
856,10,0.9047619047619048,1,10
857,10,0.7391304347826086,2,10
858,10,0.9545454545454546,0,10
859,10,0.8333333333333334,1,10
860,10,0.7,2,10
861,10,1.0,0,10
862,10,0.7727272727272727,1,10
863,10,0.7916666666666666,2,10
864,10,1.0,0,10
865,10,0.7272727272727273,1,10
866,10,0.9,2,10
867,10,0.9473684210526315,0,10
868,10,0.8888888888888888,1,10
869,10,0.8695652173913043,2,10
870,10,1.0,0,18
871,10,0.9047619047619048,1,18
872,10,0.7,2,18
873,10,0.9615384615384616,0,18
874,10,0.9411764705882353,1,18
875,10,0.6470588235294118,2,18
876,10,1.0,0,18
877,10,0.7727272727272727,1,18
878,10,0.875,2,18
879,10,0.9444444444444444,0,18
880,10,0.8095238095238095,1,18
881,10,0.7619047619047619,2,18
882,10,0.9523809523809523,0,18
883,10,0.875,1,18
884,10,0.8695652173913043,2,18
885,10,1.0,0,18
886,10,0.8571428571428571,1,18
887,10,0.8695652173913043,2,18
888,10,0.9545454545454546,0,18
889,10,0.7777777777777778,1,18
890,10,0.9,2,18
891,10,1.0,0,18
892,10,0.8181818181818182,1,18
893,10,0.75,2,18
894,10,1.0,0,18
895,10,0.7727272727272727,1,18
896,10,0.8,2,18
897,10,1.0,0,18
898,10,0.8888888888888888,1,18
899,10,0.7391304347826086,2,18
900,11,0.9473684210526315,0,2
901,11,0.5238095238095238,1,2
