,patient,accuracy,classifier
380,20,0.7692307692307693,LDA
381,20,0.6923076923076923,LDA
382,20,0.8076923076923077,LDA
383,20,0.6923076923076923,LDA
384,20,0.7692307692307693,LDA
385,20,0.6923076923076923,LDA
386,20,0.7307692307692307,LDA
387,20,0.6923076923076923,LDA
388,20,0.8076923076923077,LDA
389,20,0.8076923076923077,LDA
390,20,0.5384615384615384,MLP
391,20,0.7692307692307693,MLP
392,20,0.7692307692307693,MLP
393,20,0.6153846153846154,MLP
394,20,0.5769230769230769,MLP
395,20,0.6538461538461539,MLP
396,20,0.6538461538461539,MLP
397,20,0.7692307692307693,MLP
398,20,0.8076923076923077,MLP
399,20,0.8076923076923077,MLP
400,21,0.8166666666666667,LDA
401,21,0.7666666666666667,LDA
402,21,0.7166666666666667,LDA
403,21,0.85,LDA
404,21,0.8166666666666667,LDA
405,21,0.7833333333333333,LDA
406,21,0.7833333333333333,LDA
407,21,0.75,LDA
408,21,0.7166666666666667,LDA
409,21,0.75,LDA
410,21,0.8,MLP
411,21,0.75,MLP
412,21,0.7,MLP
413,21,0.8166666666666667,MLP
414,21,0.6833333333333333,MLP
415,21,0.7666666666666667,MLP
416,21,0.7166666666666667,MLP
417,21,0.7166666666666667,MLP
418,21,0.6666666666666666,MLP
419,21,0.75,MLP
420,22,0.7333333333333333,LDA
421,22,0.7833333333333333,LDA
422,22,0.7166666666666667,LDA
423,22,0.7833333333333333,LDA
424,22,0.7,LDA
425,22,0.7166666666666667,LDA
426,22,0.85,LDA
427,22,0.7166666666666667,LDA
428,22,0.75,LDA
429,22,0.75,LDA
430,22,0.7,MLP
431,22,0.7333333333333333,MLP
432,22,0.7333333333333333,MLP
433,22,0.7833333333333333,MLP
434,22,0.7,MLP
435,22,0.7333333333333333,MLP
436,22,0.85,MLP
437,22,0.7333333333333333,MLP
438,22,0.7333333333333333,MLP
439,22,0.7833333333333333,MLP
440,23,0.711864406779661,LDA
441,23,0.7796610169491526,LDA
442,23,0.711864406779661,LDA
443,23,0.8135593220338984,LDA
